Trainer,Steam_Flow_Error_Score,Reformer_Duty_Error_Score,C2H6_Error_Score,CH4_Error_Score,H2_Error_Score,O2_Error_Score,Time_Cost(s)_Score
ALAMO,0.9970101726459359,0.7192252993601118,0.2204840743025498,0.18973059423191518,0.2202235750729078,0.9999608441867167,1.0
NDCT,0.03674243790487308,0.1859544739293264,0.03601806195024615,2.220446049250313e-16,1.0,0.9999998236453393,0.5108315904780889
PLY,1.0,0.7017468577349182,0.6577928154597115,0.6420566733132014,0.5189617530447546,0.0,0.7477635963695348
RBF,0.23416410242072083,0.5715029833409888,0.314708399809176,0.28626138203768847,0.3741082548871333,0.999999997773557,0.13205888944344124
KRG,0.29635445028588236,1.0,1.0,1.0,4.440892098500626e-16,1.0,0.0
KERAS,0.0,0.0,0.0,0.07077130764550366,0.022644358343968385,0.9999992692755768,0.31772687416456113
