Case,Trainer,Steam_Flow_Error,Reformer_Duty_Error,C2H6_Error,CH4_Error,H2_Error,O2_Error,Time_Cost(s)
18,KRG,9.890834569900422e-05,1.7930632863453225e-05,1.621509848658345e-07,1.351075896766779e-05,0.00042732832197062143,1.7552231428179464e-23,0.15962457656860352
19,KRG,0.0001343749246754946,6.49490676150234e-05,2.741922530361679e-07,1.1898953292954761e-05,0.0008829106578172596,2.659110914733346e-23,0.4019346237182617
20,KRG,7.666373243261156e-05,1.8128904667751186e-05,6.837308525989468e-07,1.2109419891007112e-05,0.0005636385888260764,2.039806586959616e-23,0.16965603828430176
1,KERAS,0.0040951163953176235,0.012536600012425236,4.591745595025707e-05,0.0017939289369615363,0.0003037218269543174,9.468098673591613e-23,0.16579604148864746
2,KERAS,0.006367476202336381,0.005599058531952175,3.116153500318849e-05,0.0010077787359643875,0.0007855205025293355,2.7818556248865924e-22,0.10920357704162598
3,KERAS,0.012422340133072005,0.01093996975798487,3.2309739276352705e-05,0.000671769203869646,0.00045384789103308787,4.140356939425255e-22,0.12537670135498047
4,KERAS,0.00406742462889826,0.009201721104795101,9.951524210330691e-05,0.00019054592812672855,0.0004750276934417652,8.371779476968402e-24,0.12633013725280762
5,KERAS,0.0018876481949423169,0.005350873897264603,2.7124065025639285e-05,0.00036013121678551974,0.0009575771860013682,4.404691034851616e-22,0.10011100769042969
6,KERAS,0.014259564047297633,0.005078192259529653,3.214667423195004e-05,0.0012188697627937561,0.0008109859588698309,1.768121007717065e-22,0.10704946517944336
7,KERAS,0.007718508128372784,0.008813029553851865,9.579828239676235e-05,0.0014998550844985033,0.0005433919191430991,1.2411222926312678e-22,0.15261363983154297
8,KERAS,0.018291634171283256,0.021726707217676847,5.424893575002934e-05,0.0035737712215188067,0.0015515869880300681,4.391733891005191e-22,0.10643577575683594
9,KERAS,0.015062259947532524,0.014365917495041208,4.480606755045361e-05,0.0008756281632517626,0.00037525088572437637,4.147781242076549e-22,0.13254237174987793
10,KERAS,0.009136507897264935,0.012574814776426413,8.568072267822247e-05,0.0002608746451031596,0.00010919018264643476,2.4770038912376054e-22,0.15798401832580566
11,KERAS,0.016557062443415448,0.015789795808454108,5.0274695896497437e-05,0.00130001887005185,0.00022427874498093248,3.9772591764895127e-22,0.11167287826538086
12,KERAS,0.0002993801174485411,0.00126352322690529,0.00014948530295790983,0.0013776375778685804,0.0005522369199905675,3.564688594033907e-22,0.12668108940124512
13,KERAS,0.006893775694203625,0.004305610195095224,3.0137271738266396e-05,0.0008556768672380588,0.00024961250401001056,2.4072490062054945e-22,0.109954833984375
14,KERAS,0.008948981639538769,0.013945157165386126,4.24045269683418e-05,0.0008274837526648857,0.00011740442932162143,1.0118954860506885e-22,0.12021112442016602
15,KERAS,0.011773197019555743,0.011900189398599456,3.980955886239389e-05,0.0009098426975352736,2.7575371278065752e-06,2.5016797639459827e-22,0.12613582611083984
16,KERAS,0.010798551507600052,0.0207556164266711,5.9823075506072396e-06,0.0013085243603206398,0.00026724968074609556,1.571080346768166e-22,0.11085796356201172
17,KERAS,0.006360173663080086,0.0027306377325469824,1.1506917523167355e-05,0.0004806654260143539,0.0005354002675278524,3.3256626385053187e-22,0.10765624046325684
18,KERAS,0.002515863279689068,0.0008466040463768128,5.625765420886144e-05,0.000417064399863748,0.00045950164701519247,1.407538232534563e-22,0.13042092323303223
19,KERAS,0.014921924615318688,0.025049173460641862,9.569795464525136e-05,0.0010046997992405604,0.0006165212424685262,3.0311119161567404e-22,0.10049796104431152
20,KERAS,0.012782698113273717,0.013227626467288544,8.049882685580217e-05,0.0011538054904913844,0.00010100549644925794,3.803152851481709e-22,0.12517356872558594
