Trainer,Case,Steam_Flow_Error,Reformer_Duty_Error,C2H6_Error,CH4_Error,H2_Error,O2_Error,Time_Cost(s)
ALAMO,10.5,5.272445470373561e-10,0.00023346196287702298,2.061855387377158e-05,0.0006265905574542429,0.00022617973423487425,1.2689062286189163e-20,0.03074723482131958
NDCT,10.5,0.005006897522374614,0.004007637083850662,4.7238145631541674e-05,0.001437106732221765,0.0005166791587649572,8.567685540888557e-23,0.08290246725082398
PLY,10.5,5.01472984687915e-10,0.00025626166944778836,2.8889060460581138e-06,8.660114754322057e-05,7.375270041238974e-05,3.2338636720314206e-16,0.051277315616607665
RBF,10.5,0.0001841706487558577,0.0005131388868003415,1.3500637812231327e-05,0.0004107396935774771,0.00012698705116124392,2.93769563784327e-23,0.17869584560394286
KRG,10.5,6.507023423743462e-05,5.225689047429178e-05,6.206178585327977e-07,1.8088357946817457e-05,1.2137136737871979e-05,2.865392490895249e-23,0.23356374502182006
KERAS,10.5,0.009258004391972073,0.010800040926745674,5.553818685866305e-05,0.0010544286070081571,0.00047460347520057733,2.6492255799066036e-22,0.1226352572441101
