Dimension,Levy_f,Multimodal,Unimodal,All,Algorithm
D2,1.0,1.0,,,SRBF
All,1.0,1.0,,,SRBF
D2,0.55,0.55,,,NDCT_standard_PSO
All,0.55,0.55,,,NDCT_standard_PSO
D2,0.97,0.97,,,NDCT_modified_PSO
All,0.97,0.97,,,NDCT_modified_PSO
D2,0.97,0.97,,,DYCORS
All,0.97,0.97,,,DYCORS
D2,0.57,0.57,,,COBYLA
All,0.57,0.57,,,COBYLA
D2,0.0,0.0,,,COBYQA
All,0.0,0.0,,,COBYQA
D2,0.94,0.94,,,opt_CUATRO
All,0.94,0.94,,,opt_CUATRO
D2,0.88,0.88,,,ENTMOOT
All,0.88,0.88,,,ENTMOOT
