Dimension,Levy_f,Multimodal,Unimodal,All,Algorithm
D2,1.0,1.0,,,SRBF
All,1.0,1.0,,,SRBF
D2,0.46,0.46,,,NDCT_standard_PSO
All,0.46,0.46,,,NDCT_standard_PSO
D2,0.88,0.88,,,NDCT_modified_PSO
All,0.88,0.88,,,NDCT_modified_PSO
D2,0.9,0.9,,,DYCORS
All,0.9,0.9,,,DYCORS
D2,0.05,0.05,,,COBYLA
All,0.05,0.05,,,COBYLA
D2,0.98,0.98,,,COBYQA
All,0.98,0.98,,,COBYQA
D2,0.0,0.0,,,opt_CUATRO
All,0.0,0.0,,,opt_CUATRO
D2,0.9,0.9,,,ENTMOOT
All,0.9,0.9,,,ENTMOOT
