ALAMO,NDCT,PLY,RBF,KRG,Keras
0.04291081428527832,0.0557098388671875,0.04509711265563965,0.10912561416625977,0.1557309627532959,0.20027518272399902
0.03967595100402832,0.26563572883605957,0.04434609413146973,0.10011887550354004,0.15519928932189941,0.14670825004577637
0.027875661849975586,0.055422306060791016,0.046692848205566406,0.3394179344177246,0.16265177726745605,0.15035581588745117
0.021154165267944336,0.05904364585876465,0.05186867713928223,0.3607816696166992,0.17937779426574707,0.15780925750732422
0.025434017181396484,0.05005478858947754,0.05034494400024414,0.12986969947814941,0.4199087619781494,0.13347220420837402
0.026432275772094727,0.05079007148742676,0.05086660385131836,0.11435151100158691,0.17043638229370117,0.3777163028717041
0.03278326988220215,0.060638427734375,0.04008793830871582,0.11704707145690918,0.15800905227661133,0.14171743392944336
0.043297529220581055,0.06776165962219238,0.03934025764465332,0.3590071201324463,0.16626191139221191,0.14211320877075195
0.03215813636779785,0.05594778060913086,0.03557896614074707,0.3375208377838135,0.1626131534576416,0.14406943321228027
0.02358412742614746,0.05785369873046875,0.05106401443481445,0.10778260231018066,0.4241800308227539,0.15904998779296875
0.05436277389526367,0.06200814247131348,0.04210686683654785,0.13316988945007324,0.20965957641601562,0.418351411819458
0.029183149337768555,0.05083131790161133,0.04200291633605957,0.11649823188781738,0.18928956985473633,0.16841459274291992
0.03794407844543457,0.3211970329284668,0.0480194091796875,0.12289214134216309,0.16899538040161133,0.16316819190979004
0.027034759521484375,0.05803704261779785,0.04542827606201172,0.35999059677124023,0.1699361801147461,0.1433255672454834
0.03238725662231445,0.0667564868927002,0.04680466651916504,0.09346485137939453,0.3910102844238281,0.12721800804138184
0.03410601615905762,0.04799294471740723,0.046955108642578125,0.1236879825592041,0.39229917526245117,0.14416241645812988
0.03000044822692871,0.061730384826660156,0.03845667839050293,0.10264039039611816,0.15497684478759766,0.1582655906677246
0.04212594032287598,0.3017418384552002,0.030305147171020508,0.10005617141723633,0.16975975036621094,0.13022398948669434
0.025422096252441406,0.05790257453918457,0.04210472106933594,0.33548474311828613,0.164442777633667,0.14415574073791504
0.030886173248291016,0.05926942825317383,0.040593624114990234,0.09975099563598633,0.40004825592041016,0.12509655952453613
