ALAMO,NDCT,PLY,RBF,KRG,Keras
0.0506291389465332,0.07132458686828613,0.048383235931396484,0.3799469470977783,0.19606614112854004,0.14203619956970215
0.0519099235534668,0.0201873779296875,0.0494389533996582,0.14948678016662598,0.20012307167053223,0.13360023498535156
0.04672741889953613,0.025312185287475586,0.05109524726867676,0.13831782341003418,0.4332268238067627,0.14740872383117676
0.04093766212463379,0.06856608390808105,0.04991412162780762,0.14535927772521973,0.20821428298950195,0.424999475479126
0.044809579849243164,0.08448553085327148,0.05050778388977051,0.3957862854003906,0.2095317840576172,0.1500110626220703
0.04192972183227539,0.06615614891052246,0.059029579162597656,0.13869285583496094,0.1936173439025879,0.14037871360778809
0.0405118465423584,0.02596592903137207,0.05718111991882324,0.1405315399169922,0.4564690589904785,0.13960909843444824
0.04170989990234375,0.06525111198425293,0.057570457458496094,0.14166593551635742,0.20404911041259766,0.14031672477722168
0.029755592346191406,0.033696651458740234,0.0499422550201416,0.3982694149017334,0.2109661102294922,0.14592313766479492
0.04269766807556152,0.05788087844848633,0.05404210090637207,0.14362311363220215,0.2034592628479004,0.1448509693145752
0.0448458194732666,0.022185564041137695,0.0440974235534668,0.1361703872680664,0.4944734573364258,0.13338041305541992
0.03334617614746094,0.0596156120300293,0.04725337028503418,0.39018964767456055,0.272108793258667,0.14182519912719727
0.03895235061645508,0.05820655822753906,0.05872225761413574,0.15099525451660156,0.2071380615234375,0.14528965950012207
0.045227766036987305,0.06116223335266113,0.0532987117767334,0.1391615867614746,0.4576687812805176,0.14224982261657715
0.04109334945678711,0.05951523780822754,0.051064491271972656,0.14339494705200195,0.20953011512756348,0.1325230598449707
0.04208493232727051,0.06497597694396973,0.05868721008300781,0.40215373039245605,0.1998445987701416,0.14259743690490723
0.048772335052490234,0.05344510078430176,0.05300712585449219,0.13498282432556152,0.21022796630859375,0.13267135620117188
0.03903365135192871,0.05108213424682617,0.04889655113220215,0.158951997756958,0.4798457622528076,0.13868117332458496
0.04370522499084473,0.05251169204711914,0.05882072448730469,0.15223383903503418,0.1983473300933838,0.42394351959228516
0.04745006561279297,0.027759313583374023,0.058542728424072266,0.39099550247192383,0.21349716186523438,0.13268637657165527
