Dimension,Levy_f,Multimodal,Unimodal,All,Algorithm
D2,0.86,0.86,,,SRBF
All,0.86,0.86,,,SRBF
D2,0.0,0.0,,,NDCT_standard_PSO
All,0.0,0.0,,,NDCT_standard_PSO
D2,0.96,0.96,,,NDCT_modified_PSO
All,0.96,0.96,,,NDCT_modified_PSO
D2,0.99,0.99,,,DYCORS
All,0.99,0.99,,,DYCORS
D2,1.0,1.0,,,COBYLA
All,1.0,1.0,,,COBYLA
D2,0.96,0.96,,,COBYQA
All,0.96,0.96,,,COBYQA
D2,0.91,0.91,,,opt_CUATRO
All,0.91,0.91,,,opt_CUATRO
D2,0.96,0.96,,,ENTMOOT
All,0.96,0.96,,,ENTMOOT
